 Фосфалюгель гель для приема внутрь пакеты 20 шт. ;от 499 ₽;Фарматис;megapteka.ru;https://megapteka.ru/perm/fosfalyugel-50
 Фосфалюгель гель для приема внутрь пакеты 6 шт. ;от 230 ₽;Фарматис;megapteka.ru;https://megapteka.ru/perm/fosfalyugel-50
 Бион 3 таблетки 30 шт. ;от 787 ₽;Мерк КГаА (Merck KGaA);megapteka.ru;https://megapteka.ru/perm/bion-3
 Бион 3 таблетки 10 шт. ;от 347 ₽;Мерк КГаА (Merck KGaA);megapteka.ru;https://megapteka.ru/perm/bion-3
 Йодомарин 200 таблетки 200 мкг 100 шт. ;от 193 ₽;Berlin-Chemie/ Menarini Group (Германия);megapteka.ru;https://megapteka.ru/perm/jodomarin-88
 Йодомарин 100 таблетки 100 мкг 100 шт. ;от 130 ₽;Роттендорф Фарма ГмбХ/Менарини Фон Хейден ГмбХ;megapteka.ru;https://megapteka.ru/perm/jodomarin-88
 Йодомарин 200 таблетки 200 мкг 50 шт. ;от 126 ₽;Berlin-Chemie/ Menarini Group (Германия);megapteka.ru;https://megapteka.ru/perm/jodomarin-88
 Йодомарин Для будущей мамы таблетки 30 шт. ;от 369 ₽;Berlin-Chemie/ Menarini Group (Германия);megapteka.ru;https://megapteka.ru/perm/jodomarin-88
 Баклосан таблетки 25 мг 50 шт. ;от 440.70 ₽;Polpharma [Польфарма];megapteka.ru;https://megapteka.ru/perm/baklosan
 Баклосан таблетки 10 мг 50 шт. ;от 248 ₽;Polpharma [Польфарма];megapteka.ru;https://megapteka.ru/perm/baklosan
 Депакин Хроно таблетки пролонгированного действия 500 мг 30 шт. ;от 189 ₽;Санофи-Винтроп Индустрия;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Хроносфера  гранулы с пролонгированным высвобождением 250 мг пакеты 30 шт. ;от 264.20 ₽;Санофи-Винтроп Индустрия;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Хроносфера гранулы с пролонгированным высвобождением 100 мг пакеты 30 шт. ;от 135.20 ₽;Санофи-Винтроп Индустрия;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Хроно таблетки пролонгированного действия 300 мг 100 шт. ;от 416 ₽;Санофи-Винтроп Хиноин;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Хроносфера гранулы с пролонгированным высвобождением1000 мг пакеты 30 шт. ;от 949 ₽;Санофи-Винтроп Индустрия;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Хроносфера гранулы с пролонгированным высвобождением 750 мг пакеты 30 шт. ;от 673 ₽;Sanofi/Aventis (Франция);megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин сироп 57,64 мг/мл 150 мл флакон 1 шт. ;от 248 ₽;OOO Санофи-Авентис;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Энтерик таблетки 300 мг 100 шт. ;от 384 ₽;OOO Санофи-Авентис;megapteka.ru;https://megapteka.ru/perm/depakin
 Депакин Хроносфера гранулы с пролонгированным высвобождением 500 мг пакеты 30 шт. ;от 384 ₽;Санофи-Винтроп Индустрия;megapteka.ru;https://megapteka.ru/perm/depakin
 Амелотекс гель для наружного применения 1% 50 г туба 1 шт. ;от 276 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс раствор для внутримышечного введения 10 мг/мл 1,5 мл ампулы 5 шт. ;от 392.80 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс таблетки 15 мг 20 шт. ;от 199 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс раствор для внутримышечного введения 10 мг/мл 1,5 мл ампулы 3 шт. ;от 267.50 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс раствор для внутримышечного введения 10 мг/мл 1,5 мл ампулы 10 шт. ;от 557 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс гель для наружного применения 1% 30 г туба 1 шт. ;от 193 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс суппозитории ректальные 15 мг 6 шт. ;от 276 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс таблетки 15 мг 10 шт. ;от 142 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс таблетки 7,5 мг 20 шт. ;от 135 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Амелотекс суппозитории ректальные 7,5 мг 6 шт. ;от 139 ₽;Sotex;megapteka.ru;https://megapteka.ru/perm/ameloteks
 Пантокальцин таблетки 250 мг 50 шт. ;от 453.40 ₽;АО «Валента Фарм», Россия;megapteka.ru;https://megapteka.ru/perm/pantokalcin
 Пантокальцин таблетки 500 мг 50 шт. ;от 727.60 ₽;АО «Валента Фарм», Россия;megapteka.ru;https://megapteka.ru/perm/pantokalcin
 Пантокальцин раствор для приема внутрь 150 мг/мл 75 мл флакон 1 шт. ;от 475 ₽;АО «Валента Фарм», Россия;megapteka.ru;https://megapteka.ru/perm/pantokalcin
 Ламиктал таблетки 100 мг 30 шт. ;от 1972.70 ₽;GlaxoSmithKline Pharmaceuticals S.A (Польша);megapteka.ru;https://megapteka.ru/perm/lamiktal
 Ламиктал таблетки 25 мг 30 шт. ;от 653.50 ₽;GlaxoSmithKline Pharmaceuticals S.A (Польша);megapteka.ru;https://megapteka.ru/perm/lamiktal
 Ламиктал таблетки 50 мг 30 шт. ;от 1104.50 ₽;GlaxoSmithKline Pharmaceuticals S.A (Польша);megapteka.ru;https://megapteka.ru/perm/lamiktal
 Ламиктал таблетки жевательные 5 мг 30 шт. ;от 518 ₽;Смиткляйн Бичем;megapteka.ru;https://megapteka.ru/perm/lamiktal
 Виагра таблетки 100 мг 1 шт. ;от 774 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 100 мг 2 шт. ;от 1458.20 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 50 мг 1 шт. ;от 654 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 25 мг 1 шт. ;от 601 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 50 мг 2 шт. ;от 1148 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 50 мг 4 шт. ;от 2280 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 50 мг 12 шт. ;от 4624.50 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 100 мг 4 шт. ;от 2602 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки 100 мг 12 шт. ;от 6105 ₽;Pfizer;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Виагра таблетки, диспергируемые в полости рта 50 мг 4 шт. ;от 6105 ₽;;megapteka.ru;https://megapteka.ru/perm/viagra-186
 Викасол таблетки 15 мг 20 шт. ;от 13 ₽;Фармстандарт;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 1 мл ампулы 10 шт. ;от 49 ₽;ОАО Биосинтез;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол таблетки 15 мг 30 шт. ;от 18 ₽;ОАО Биосинтез;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 1 мл ампулы 10 шт. ;от 49 ₽;ОАО "Дальхимфарм";megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол таблетки 15 мг 30 шт. ;от 22.90 ₽;Усолье-Сибирский ХФЗ;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол таблетки 15 мг 20 шт. ;от 20 ₽;Усолье-Сибирский ХФЗ;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 1 мл ампулы 10 шт. ;от 59.60 ₽;ООО "Озон";megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол таблетки 15 мг 30 шт. ;от 35 ₽;Ирбитский ХФЗ ОАО;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 2 мл ампулы 10 шт. ;от 67.30 ₽;ООО "Озон";megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 2 мл ампулы 10 шт. ;от 77 ₽;ОАО Биосинтез;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 1 мл ампулы 10 шт. ;от 51 ₽;ООО «Велфарм»;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 10 мг/мл 2 мл ампулы 10 шт. ;от 51 ₽;ООО Эллара;megapteka.ru;https://megapteka.ru/perm/vikasol
 Викасол раствор для внутримышечного введения 1 % 1 мл ампулы 10 шт. ;от 51 ₽;ООО Эллара;megapteka.ru;https://megapteka.ru/perm/vikasol
 Тетрадерм крем для наружного применения 15 г туба 1 шт. ;от 587 ₽;АО «Вертекс»;megapteka.ru;https://megapteka.ru/perm/tetraderm
 Тетрадерм крем для наружного применения 30 г туба 1 шт. ;от 820 ₽;АО «Вертекс»;megapteka.ru;https://megapteka.ru/perm/tetraderm
 Доксициклин капсулы 100 мг 20 шт. ;от 33.10 ₽;Борисовский завод медпрепаратов;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин Солюшн таблетки диспергируемые 100 мг 10 шт. ;от 231.10 ₽;ООО "Озон";megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин Экспресс таблетки диспергируемые 100 мг 10 шт. ;от 277 ₽;Фармстандарт;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 10 шт. ;от 277 ₽;Синтез;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 20 шт. ;от 277 ₽;РУП Белмедпрепараты;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 10 шт. ;от 277 ₽;Барнаульский завод МП;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 20 шт. ;от 277 ₽;ООО "Барнаульский завод медицинских препаратов" (ООО "БЗМП") - Россия;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 10 шт. ;от 277 ₽;ООО "Озон";megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Драмина таблетки 50 мг 10 шт. ;от 170.40 ₽;Ядран Галенский Лабораторий АО, Хорватия;megapteka.ru;https://megapteka.ru/perm/dramina
 Куриозин гель для наружного применения 15 г туба 1 шт. ;от 508 ₽;Гедеон Рихтер;megapteka.ru;https://megapteka.ru/perm/kuriozin
 Куриозин раствор для наружного применения 0,205% 10 мл флакон 1 шт. ;от 466 ₽;Гедеон Рихтер;megapteka.ru;https://megapteka.ru/perm/kuriozin Фосфалюгель гель для приема внутрь пакеты 20 шт. ;от 402 ₽;Фарматис;megapteka.ru;https://megapteka.ru/perm/fosfalyugel-50
 Фосфалюгель гель для приема внутрь пакеты 6 шт. ;от 230 ₽;Фарматис;megapteka.ru;https://megapteka.ru/perm/fosfalyugel-50
 Бион 3 таблетки 30 шт. ;от 785 ₽;Мерк КГаА (Merck KGaA);megapteka.ru;https://megapteka.ru/perm/bion-3
 Бион 3 таблетки 10 шт. ;от 659 ₽;Мерк КГаА (Merck KGaA);megapteka.ru;https://megapteka.ru/perm/bion-3
 Йодомарин 200 таблетки 200 мкг 100 шт. ;от 207.90 ₽;Berlin-Chemie/ Menarini Group (Германия);megapteka.ru;https://megapteka.ru/perm/jodomarin-88
 Йодомарин 100 таблетки 100 мкг 100 шт. ;от 124 ₽;Роттендорф Фарма ГмбХ/Менарини Фон Хейден ГмбХ;megapteka.ru;https://megapteka.ru/perm/jodomarin-88
